Speaker,Dialogue
newman,The old guy didn't know where he was going. But he picked up some tissue samples.
gerard,Tissue samples?
newman,... From a drug study. And signed for by Dr. Charles Nichols.
newman,Nichols also knew Lentz. He was a pathologist.
renfro,He was covering for Kimble.
gerard, Get CPD to bring in Sykes.
host,"Tonight to close our conference, we're honored to hear a report from one of the most respected men in his field..."
host,... He is the A. Jude Robinson Fellow and Administrative Chief of Pathology at Chicago Memorial Hospital... and just recently has been appointed member of the board of directors for Devlin-Macgregor Pharmaceuticals. Please welcome...
host,... Dr. Charles Nichols.
stevens,I checked Sykes' calls for the last two years against Kimble's like you asked and found nothing.
gerard,All right. It was a thought.
stevens,But when I cross-checked Kimble's phone records... one came up.
gerard,Kimble called Sykes.  Renfro! Get C.P.D. to bring in Sykes!
stevens,Night of his wife's murder - seven-thirty in the evening from his car.
stevens,I have the phone record right here.
gerard," No, Stevens... I believe you."
poole,"Sam, C.P.D. just checked Sykes' apartment. He's not there."
sykes,"Back up. Move to the door, Doc."
transit cop," This is transit unit, 23. I have a possible sighting of Richard Kimble. Northbound coming into the Balbo station. Request immediate back-up at the station."
sykes,"This is my stop, Doc."
kimble,"Good, it's my stop, too."
transit cop,"Kimble.  Sir, move away from him."
sykes,Go ahead. You don't have it in you .
kimble,"Not as easy as Helen, was it?  You missed your stop."
renfro,Balbo station. That's -
gerard," Poole, get Biggs and Newman."
gerard, Damn...
newman,C.P.D. just reported -
gerard,I heard. Was it Kimble?
biggs,"Conflicting reports, but the cops are considering him a shooter."
police captain,Witnesses say he entered hotel from the subway.
kelly,Okay. I want it locked down. Start on the lower levels.
gerard,"That's my man in there, Kelly."
kelly,"Not since he took down one of ours, Gerard. This is a police matter, now. Stay, the hell, out of it."
gerard,"C'mon, I know where he's going."
nichols,... And I especially would like to thank my researchers who helped me...
nichols,Richard...
kimble,"What's wrong, Charlie? Surprised?"
crowd,It's Richard. It's Kimble.
kimble,"After Lentz died, you were the only one that had access to the pathology reports."
nichols,Reports? What are you?
kimble,You switched the samples and falsified the reports so R.D.U.90 could get approval.
nichols,"Richard, I don't know what you're talking about?..."
kimble,I have a set of the original samples.
kimble,"You almost pulled it off, Charlie. But I know all about it now, and I can prove it."
kimble,"Ladies and gentlemen. My friend, as you can see, is obviously not well. Richard, if you want to talk -"
kimble,I didn't come here to talk
biggs,"C.P.D. has the perimeter, hotel security has the parking structure."
