Speaker,Dialogue
zamorra,No. The German settles back in his.chair and. begins placing a cigarette in a holder.
tector,Probably talking about us behind our backs. 200 DUTCH TURNS TO PIKE WHO IS QUAFFING a large beer.
dutch,I'm down to about twenty in silver...
pike,The G3neralisimo has cleaned this part a of the country ...He ought to have it to spare.
dutch,Generalisimo hell -- he's just a damn bandit grabbing all he can for himself.
dutch,No sir -- we don't.hang nobody or torture them -- I hope the people here kick him and the rest of the scum like him right into-their graves.
angel,"We will if it takes a thousand years: Then suddenly, he reacts to the sound of a girl's voice off scene."
teresa,"Vamos:...te va. gustar el Alenman: Angel. spins around in his chair watching as: 202 TWO PRETTY MEXICAN GIRLS, TERESA AND RASA, laughing and giggling, pass-the table."
angel,.Teresa; He reaches out and grabs the better looking of the two by the arm.
rosa,Llamo los otros!
teresa,"No, Vete, ahorita vengo; Pike and Dutch tense as Angel stands and jerks her toward him, -"
pike,"Let her go! 203 ANGEL LOOKS AT THE GIRL, furious and hurt.."
angel,Djaste el pueblo;
teresa,Si deje el pinche pueblo. Y ahora vivo con el generalisimo; She jerks away from Angel and starts toward the other table.
pike,Take it easy! He places a hand on Angel's shoulder.
dutch, Que pasa::
pike,His sweetheart --
angel," ""She was my woman and she left the village.,"
mapache,Qua basura es este? Mapache again. kicks Angel..
zamorra,Why did he try to kill His Excellency...?
pike,"He didn't, he was. after the girl... Mapache is having difficulty understanding. He looks at Z'amorra with a puzzled expression."
zamorra,"La.muchacha,.."
dutch,Era su novia; The Mexicans immediately respond to Dutch's explanation. Both Z.amorra and Mapache smile.
pike,He went a little crazy when he saw her with you. Mapache laughs. His ego is pleased with the idea that.he had taken someone's woman. He turns and explains grandly in Spanish to the rest of. the cantina.
mohr, Are you men in Agua Verde for business?
mohr,"You must have been associated with the American Army, is that riot so? Tector and Lyle snicker slightly at the remark. Mapache and Zamorra turn, listening carefully to the conversation. The cantina is silent."
dutch,-No -- were not associated with anyone...
mohr,"I see,..1 was curious because of.the equipment which you are carrying.  That pistol is restricted for use'by army personnel. It can't be purchased or even owned... legally."
mohr,"You're surprised at my interest?  Weapons are a specialty of mine. Mohr bows his head slightly and clicks his heels barely audib3y,"
mohr,"I am Commander Frederick Mohr-of the Imperial German. Army. For the last six- months I have been in Mexico helping fight against the revolutionaries. 212. ANGEL ON THE FLOOR IS CONSCIOUS, but uimoving., listening to what is being said. Several of Mapache's men stand around him."
mohr,Unfortunately your government has chosen to aid the rabble in their so-called struggle for liberty...
pike,I. never heard of any American troops fighting down here...
mohr,They are aiding in diplomatic channels... It would be very useful to us if we knew of Americans who did not share their government's naive sentiments.
pike,"We have vez""y'few sentiments in common with our government."
mapache,Qua diga?
mohr," Generalisimo, I think we should ask these gentlemen to have a drink with us. And Pike, understanding. that much Spanish, smiles as we."
pike,Of all those garrison rail spurs that ofie is the easiest to hit -- But I've got to figure where we can get out with. the wagon.
dftch, Why do you want us to hit a train that's so close to the border ...The General could take an army up there and get it.
mohr,President Huerta is anxious to better relations with the U.S. -- not destroy them. -
pike,Arms shipments are generally. kept secret ...how did you find out about this one?
ernst,Mapache has a superb intelligence force..  Organized under the supervision of my superior officer.
zamorra," If you are not able to do the work we will find someone else,"
pike,"'  I -- we can do 'it , , ,"
zamorra,Our accountant will arrange everything.
sohr," Soon you will be the best armed general in Mexico. Mapache raises his glass In a toast,"
mapache,"A la conquistat.,. Pike nudges Lyle who raises his glass; the other men follow suit. Mohr smiles and elegantly raises a drink."
ernst,"Prosit:a I 217 PIKE AND DUTCH.DRINK, put down their glasses."
pike,With your permission ...I need a bath.
lyle,"Well,. .I don't need no bath...Tector and me need'some of them senoritas.  How 'bout that boy, can you fix us up?"
zamorra,"Porque no? Zamorra yells to JUAN. JOSE, an aide, standing nearby."
zamorra,Oye!...Traeles unas viejas! Andale!
dutch,I'm sure. 219 DUTCH FOLLOWS PIKE TO ANGEL where they lift him off the floor.
pike,We better get him cleaned up...
pike,"Por favor, General -- but I need him."
mapache,"I""give you someone much better."
mapa che,Take him. It is not important to me -- take him!' Then he.looks away as:
tector,Hey! ...Here come our sweeties!
lyle," And then some! He turns"" and beckons to Pike and Dutch who, with Sykes, are carrying Angel out of the saloon, but they ignore him."
harrigan,And you want to gamble everything this one shipment will be attacked?!
thornton,If they're in Agua Verde that's what - --they'll go for.
harrigan,If?! Why not Juarez?
thornton,Because we would have heard::.  If they are in Agua Verde they will have seen Mapache.
thornton,A killer for Huerta who calls himself a.general.-- with enough guns he can become a power in northern Mexico - my guess is Pike will try and get them f or  him.
harrigan,The train will be guarded by regular troops!!
thornton,Not regulars --.green recruits and not. worth a damn! I'll need twenty trained men -- not recruits or this gutter trash you.'ve given me.
harrigan,You'll get the job done with what you have -- that'p our bargain. (then looking at the
dutch,I don't see how you stand it
pike,Some day I'm going to build me one of these and live in it.  I don't know why I  didn' t just let him kill you.
dutch,Very 'noble .
sykes,"Listen, bog, you ride the trail with us your village don't count -- if it does- -you jest don't go along."
angel,Then I don't go along!
dutch,One load of guns isn't going to stop him from raiding villages.. You ought to be thinking about all that money you'll have.
dutch,A small bag.
pike,"Move them a thousand miles away and buy them a ranch --. two -- three, ranches."
dutch,One -- a very Small ranch.
angel,"They'll never leave...You see, it's their land -- and no one will, ever drive them away."
sykes, But when all is said and done -- I!11 drink to -- gold.
dutch,Salud'.
lyle,"The dons of Spain built-this some three hundred years ago -- He belches, then looks about in awe at the huge casks."
tector,"Itm all for them dons'. 229 TECTOR SUDDENLY SWINGS A MATTOX ON TO a six foot cask which rests on top of two others of equal height, it bounces out of his hand. He draws his gun and fires as does Lyle. Liquid gushes down. 229A LYLE STEPS UNDER IT, lifts his face, drinks, then drags: his lady beside him."
lyle,(as the torrent pours over them removing his
angel,"Would you give someone a gun to kill your mother, or your father, or your brother? 231, DUTCH LOOKS AT PIKE. Pike thinks it over. Both have. another pull on the bottle."
pike,Son -- twenty thousand cuts a lot of. family ties.
angel,"No -- you gringos are no different. I have seen how Lyle takes care of his brother. He takes the bottle, drinks, then throws it on the rocks."
sykes,"Let him find out.' Mr. Bishop --  You know as well as I there ain't no way of collecting from Mapache 'cept off a lot of dead bodies -- mostly ours, the way he thinks. Pike considers this -- looks at the old man, finally nods ."
angel,"I would take guns ...if Mapache found out, you would say I stole them,"
dutch,How many cases of rifles did Zamorra say were in that shipment?
pike,Twenty.
dutch,Give him one.
dutch,"__-He'll have to show up with us. when we deliver..,."
angel,I' will:..
tector," They just got engaged. 234 FOR A MOMENT THE GROUP:is frozen,-looking at the.bride to be, her bridesmaid and:the best man. and groom,.. then all stand., together and bow."
pike,"Pleasure-, Ma' ain."
angel,"Tanto gusto, senorita."
dutch,"Mucho gusto, senorita.."
sykes,. Son of a bitch.
change," 2/27/68  00  234 CONTINUED Tector and Lyle and their girls look at him as both Pike and Dutch nearly fall off the bench, laughing too hard to drink their health as we:  DISSOLVE TO:  EXT. BROKEN DESERT AREA  - DAY"
dutch,"You never told me how you got all tore up like that... 236 PIKE REFLECTS FOR A MOMENT. His face is almost white.; Then he reaches in his saddle bag and pulls out a bottle. He drinks, passes the bottle to Dutch.."
pike,I met a woman I wanted to marry... Pike 'grins a little at what now seems an absurd thought.
pike,"Buenas no the s mi amor. Aurora swings and catches him full handed across the face9 the groceries scatter on the floor -- Pike bounces off the wall,. looks at her, tries to grin."
pike,Your husband due back?
aurora,"No, never you are late -- two days late. Pike is startled by this, starts to protest, realizes it is true, tries to make apologies. Aurora turns and stalks off."
pike,"No! He picks up a pan with a hot handle, drops it, spilling hot stew or soup on his foot, hops around cursing looking at the shambles on the stove and on the floor.' 236DD AURORA STANDS LOOKING AT HIM WITH LOVE, then smiling softly crosses to the side-board and pours him a drink. He takes it, suddenly both are laughing."
pike,She had a husband and I should have had enough sense to kill him. He wasn't around and I got careless. One night he.walked in on us - - got her with the first shot. He caught me here with the second then the damndd coward turned and ran.
dutch,You didn't catch up with him?
