Speaker,Dialogue
marke,"I came to apologise. Ive been selfish arrogantly thinking that perhaps Id given enough. At least enough to merit if not your love then at least your respect. You have a home. A kingdom. Why was it not enough? Tell me.  Tell me! You do not know what you have done! Everything is destroyed, everything! All because you did not have enough. Shes loyal to you I am sure of it. You bloodsucker. What could it had been had I not stretched out my hand to save your life. How I curse that day, how I curse it. And so be with your defence. Then I will go complete your punishment, Donnchadh marches on us as we speak."
bragnae,Shes young. I will not let you harm her!
marke,How long?
isolde,"Since you thought he was dead. I found him wounded on the beach in Ireland. I hid him from my father and I told him my name was Bragnae. So when he came to the tournament at Dunluce to win Donnchadhs daughter he didnt realise it was me. All this time my heart has been his, and I am sorry. He tried harder than you can possibly imagine because he loves you."
melot,"I will coax him out, make sure Donnchadh knows this."
wictred,"Of course, of course. You know as things moved along I suspected them for some time."
merlot,Tristan and Isolde?
wictred,You know what I could never work out? How it was conducted. How she got in and out of Dor unseen.
merlot,The tunnel.
wictred,What?
merlot,The Roman Tunnel!
wictred,Show me.
tristan,What is this?
henchman,The will of the King. Farwell.
isolde,I told him about Ireland. Hes given us our freedom. Why does loving you feel so wrong?
tristan,Get in.
isolde,"Tristan, if I do this."
tristan,"For all time, they will say it was our love that brought down a kingdom. Remember us."
isolde,"Tristan, dont! Tristan! Tristan! Tristan! Why?! Tristan!"
marke,Get the livestock and fuel undercover. Put some archers on the ramparts.
general,All the archers have deserted us as has half the household.
marke,And you stay?
man,If you are surprised then they have won already.
general,"Come on, hurry!"
king donnchadh,Burn it. Their will is as strong as milk. The seas will unravel us. Where is Wictred with his key?
melot,It comes up to the Roman foundations at the lowest level.
wictred,This is a godsend!  [They both enter it and Wictred gestures for his men to follow]
wictred,What will you say to him?
melot,That he will not make any more mistakes and that it is time for him to move ba  whats that?!
man,Aim for the front of the line
marke,They are waiting.
man,The Irish are inside!
marke,Follow me!
wictred,Bar the door make sure no one gets in!
melot,You.
tristan,What happened here?
melot,A reward for idiocy. A dozen Irish have blazed your way.
tristan,"Melot, I came to aid Marke."
melot,Everyone lies.
tristan,I didnt lead them here.
melot,"No, I did."
tristan,Why?
melot,I thought someone believed in me.
tristan,It will be undone.
melot,TristanIm for the wormsswear to me that you are true.
tristan,As we were brothers.
melot,Build my boat.
wictreds man,Theyre here!
wictred,Keep them back.
markes man,Wictred.
marke,Hes trying to lower the bridge
markes man,Traitor!
marke,"Give me your shield, were pinned down!"
marke,Tristan!
markes man,Him too?
marke,"No, hes with us!"
marke,Tristan!  [Tristan stabs Wictred and kills him. Tristan pulls the sword from his body as the battle subsides]
marke,Tristan! How did you get here?
tristan,"Secret. Secrets, in the bowls of the keep."
marke,In the bowls of the keep.
man,They have reached the palisades.
general,Then we must keep hope.
king donnchadh,Get back! Ha ha ha! Ha ha ha!  [Tristan slowly steps out with the head of Wictred in his hands]
tristan,Behold! The head of a traitor!
marke,"Will you always be little men, who cannot see what was and could be again? There is no middle ground! So slay us  or slay him!"
king donnchadh,"Oblidge them.  Oblidge them!  [He attacks people around him, but is shot in the back by an arrow. Suddenly the Irish and the British start to fight. Tristan falls to the ground and Marke runs to his side]"
tristan,Take me out of here. Take me to the river.
general,Hurry!
marke,Bring her.
general,"Marke, you must come, the battle needs you. Well lose everything."
marke,"I must heed their call, I am the King."
general,Weve driven them back as far as we can but they are holding us at the throat.
general,Goodbye my friend.  [Marke and his generals leave and Isolde goes to Tristans side]
isolde,"Know that I love you Tristan. And wherever you go, whatever you see, I will always be with you."
tristan,"You were right. I do not know if life is greater than death, but love was more than either."
isolde,"""My face in thine eyes, thine in mine appears,"
