Speaker,Dialogue
another angle,"As Anjelica turns, her coat swings open slightly and we see that she is dressed in a costume.-- a typical Tropicana showgirl kind of thing."
tony,Thank you.
jorge,"Be careful of 4agudo's fishermen. They're out in force tonight. Anjelica nods. Roberto hands her the money, then kisses her on. the cheek."
roberto,"Vaya can Dios, Chica."
anotsmr alygzz,She staffs the money in the pocket of the overcoat and exits. Roberto looks at A..-.rigo who nods and follows her out. Vow Roberto looks back at Tony.
tony,Have the supporting omeratic n.s been set urz? E 
anther angle,Over in one corner of the lobby we see Palmateer in a group with several others of the United States Delegation. Tony raises a hand to Palmateer who nods back as Tony continues toward the elevators.
tony,Yes?
security cfficzr,"There is a message for you. A friend. of yours wishes to see you in the bar. tN'I'. HOTEL DE LA REVOLUCION BAR - NIGHT The place is reasonably crowded, even at this hour. We are on Elizabeth Ann Dunne who is the center of a small circle of admirers, including Kenny Morton. She looks off, sees Tony entering, then excuses her- sel-f and crosses up to Tony who stands in the doorway."
closer,as Elizabeth comas up to him.
elizabeth,I want to talk to you.
elizabete,I'm going to tell you a secret. It wouldn't take an awful lot for me to get hung up on you. Okay? But I've got this problem --
tony,What are you talking about?
elizabeth,"You, sport. Adams, Anthony. No middle initial."
