Speaker,Dialogue
merlin,"Never where you expect it, that's all I know."
sir gahalt,"If we have peace and justice, why is Lancelot never with us? Why is he always riding out on his quests? He must know where this evil is."
sir gawain,"Could there be evil within Lancelot himself? To live above human folly, as is his aim, is to be overly proud."
sir gahalt,He pays no heed even to the Queens longing for his company.
guenevere," What is it you would have your words mean, Sir Gahalt?"
morgana,Don't listen to him. You are the Queen.
arthur,"Sir Gahalt, answer the Queen."
guenevere,"No. I meant not to be angry with you, Sir Gahalt. In the idleness that comes with peace gossip has bread its own evil. You merely repeat it. Please, sir, have one of those apples that Lancelot loves, and in that gesture partake of its goodness."
guenevere,"Take one, Sir Gahalt."
sir gahalt,"I am most honored, my lady."
sir gawain,"Hear me, Lord Arthur, and knights and chieftains: I charge Guenevere with the murder of my brother."
guenevere,I didn't... I am innocent.
sir gawain,I champion this truth: That Queen Guenevere murdered Sir Gahalt with the aid of sorcery.
arthur,The Queen will be in my charge till a champion steps forward to fight on her behalf.
guenevere,"Not you, my husband?"
sir gawain,She must be burnt at the stake. That is the sentence for murder done with magic.
arthur,"It is. Lords and knights of the Round Table, as her husband I say that this deed was not done by Guenevere. Who among you will champion this truth?"
arthur,Sir Caradoc! You!
caradoc,I am torn.
perceval,"I will champion you, my lady."
guenevere,"I thank you, but you are not yet a knight."
perceval,I will find Lancelot! He will come!
merlin,Boys!... boys will be boys...
perceval,I have found you. The Queen. An apple. Tomorrow. Sir Gawain...
lancelot,"--It must wait, child. These good ladies, for whom I intervened once, will honor me with a meal. I am beholden to them now as I was when they begged my protection."
guenevere,Why can't you be my champion?
arthur,"If I am your judge, I cannot be your champion. When I act as your King, I cannot be your husband."
guenevere,And you cannot love me...
arthur,"The laws, my laws, must bind everyone, high and low, or they are not laws at all. Lancelot will come..."
guenevere,"And if he cannot be found, no other knight will champion me, though you beseeched each and every one of them. Why be king if there is no one you can call loyal subject but an eager boy?"
lancelot,"Guenevere, I fight against myself..."
arthur,Is he coming?
perceval,He heard Lady Guenevere's request and he said nothing. That is all.
sir gawain,"My Lord, the sun is upon the field. The Queen has no champion. I demand justice, as is my right."
arthur,So it is.
perceval,Let me champion the Queen!
sir gawain," Since no knight comes forward, I demand justice--"
arthur,"Boy, kneel."
arthur,"In the name of God, of St. Michael, and St. George, I make you a knight. Rise, Sir..."
perceval,...Perceval!
lancelot,It's my task to prove the Queen's innocence.
sir gawain,"The Queen is innocent. I yield to your mercy, Sir Lancelot."
merlin,"Flesh on flesh. You must press on the wound, Guenevere, hold it, and it will begin to bind."
arthur,"Merlin, tell me. Now that Guenevere is returned to me..."
merlin,What is it my child?
arthur,Will I have a son?
merlin,Yes.
arthur,"Just yes? No mad laughter, no riddles, nothing but a simple yes? That frightens me."
merlin,"A king should be afraid, always. The enemy is everywhere. Waiting in ambush in the dark corridors of his castle, on the deer paths of his forest, or in the gray and winding paths of a more tangled forest, in here."
guenevere,Flesh on flesh. I will heal you.
arthur,They miss the battlefield. I think we do too.
lancelot,But one can still keep a sword sharp riding out in the name of the King's law.
arthur,"It is not easy for the young ones to learn knightly virtues without the hard teaching of war and quest. It is only your example, Lancelot, that binds them now."
arthur,"Which is the greatest quality of knighthood? Courage? Compassion? Loyalty? Humility? What do you say, Merlin?"
merlin,What?  The greatest? They blend together like the metals we mix to make a good sword.
arthur,I didn't ask for poetry. Which is it?
merlin,"All right. Truth. It must be truth, above all. When a man lies he murders some part of the world."
lancelot,Conversation and court life don't suit me. I must take my rest in the forest.
arthur,Hasn't Merlin mended your wound?
lancelot,It is deep...
arthur,You will be sorely missed. Heal yourself and come back.
lancelot,"Why? You will destroy Arthur, and us..."
lancelot,The law forbids it.
guenevere,Love demands it.
lancelot,There are things about love--
guenevere,--Nothing!
lancelot,"By my knight's sword, I swore faith--"
lancelot,Guenevere...
arthur,"I am alone and betrayed. By my wife, by my beloved friend, by my knights. And by you. Perhaps most of all by you. For you made me, you forged this wretched life. And like a child tired of a toy, you toss me aside, a babbling lecher trotting after my sister..."
merlin,"That is my destiny. I have a destiny, too..."
arthur,"With all your powers, you are content to be ridiculed, laughed at..."
merlin,"My powers fade, Arthur. I resort to cheap tricks...  Yes! I enjoy every moment of my foolishness, I join in the making of it, so no one can betray me. But you! You betray yourself."
arthur,Me? I have lived by the oath of king and knight.
merlin,"You betray the boy who drew the sword, the boy who saw the Dragon... the Dragon who moves close by, coiling and uncoiling, restless, looking down, waiting for the King to be a king..."
arthur,"I must do it myself. I must kill them both. Lancelot and Guenevere. Will you ride with me, Merlin?"
merlin,I cannot. I must not. Here I must stay.
morgana,"Crazy old fool. You think yourself a kingmaker. Ha! A meddler, more likely. Look what a mess you've made of things."
merlin,"I? Perhaps, perhaps. I'm losing interest, Morgana... I have helped men--or meddled in their affairs, if you would have it that way--since the dawn of time. Now let them live by their own laws. Let them stand on their own feet. The gods of once are gone forever, it is time for men... Morgana, make a man out of me. Kiss me."
morgana,"You know what I want. I want the secret of true magic, how to thicken the stuff of dreams and wishes with the flesh of the world."
merlin,That I cannot.
morgana,Then I will not.
lancelot,Why didn't he kill us?
guenevere,He has given up.
lancelot,"The King without his sword, the land without a king..."
guenevere,We are to blame.
merlin,"When Arthur built the castle, I carved out a place for myself, where I could laugh or sleep, and no one would bother me."
morgana,People make you laugh?
merlin,They do.
morgana,Why?
merlin,They don't know how close they live to the edge of delight or disas...
merlin,Happiness or horror.
merlin,"In the folds of the earth where the forces that hold the world together are more alive, my power is strongest. Here I will possess you, as a man possesses a woman. And the god, the eunuch, the mule that I was, will be no more."
morgana,You are truly magnificent!
merlin,"Flattery! Do you think I am ignorant of your stupid little games? Preying on you weakness of others. That's your power, a petty evil. Mine is great. Great plans. Impossible dreams. Laughable endings..."
morgana,"Merlin, the powers of Summoning, the true Name of the charms of Doing and Undoing. Show me!"
merlin,"I won't. You would misuse such power. I have paid enough for you, and I will have you."
morgana,"Make magic, my foolish wizard. For our love. Weave a marvelous room around us, a room worthy of our coupling."
merlin,What do you want? You must desire it for me to weave it.
morgana,"Walls of shining crystals, burning with red fire, furnishings of metals and jewels never seen by man..."
merlin,Desire it and it will be as you desire.
morgana,It's only a semblance. You disappoint me.
merlin,Don't touch the walls. Come close to me.
morgana,"Do it, Merlin, the deepest secret. Fix it with the charm of Making, for our endless pleasure."
merlin,For you...
arthur,Has no one seen Merlin?
knight,Did you see? The King was without Excalibur...
morgana,"I'll weep for you, brother, for a King must not weep."
morgana,Do you know what Guenevere's maids have whispered?
morgana,That when the King returned from battle...
morgana,...Guenevere would unlace his armor and massage the burns where metal rubbed on flesh...
morgana,"...She would prepare a bath for you, mixing special ointment in the water..."
arthur,Guenevere! You are--
morgana,The moon flows in my blood to meet your seed. And already I bear him who will be King.
morgana,"I could easily kill you, brother. But I want you to live to see our son be King. In me, the blood of Cornwall will have its revenge; in me, the blood of Uther will show its dark side."
morgana,"Stand back, all of you. Through my own body I have nurtured him with my potions. I made him. I alone can give him life."
arthur,"Who will ride the labyrinths of the forest, to the very root of his soul, to the very ends of the earth, to find the secret that will redeem us from the evil that has fallen upon us, and make this chalice, and ourselves, whole again?"
sir gawain,"I will ride forth in the name of that quest, and commit my strength and my soul to it."
perceval,I will go.
arthur,"Gawain, a dreadful fear is upon me, that we may never meet again, that the fellowship will be no more..."
perceval,We will find the secret or die.
arthur,"Kay, I know your heart yearns to go, but I am prisoner to my duties, and you must be to yours, at my side."
morgana," The blood of this knight will feed the god in the earth, he is weak with hunger, and he will be made strong by this blood. Then he will plant his seed, and the land will be fertile once again."
gawain,"Arthur, forgive me. I die without the secret. I have failed."
morgana,"Look, Mordred, a true prize for the giant. The lamb rides into our jaws."
morgana," You must kill him, for this knight is dear to your father. You must do it and learn to enjoy your father's pain."
morgana,Have you found what you search for? Have you found what Arthur seeks?
morgana,"You haven't, or you would be smiling now in the face of death. Your quest is an impossible one."
perceval,That it might be impossible makes it all the more necessary.
morgana,"Fool!  Do it, Mordred!"
morgana,"Feel the life through the dagger, child. It belongs to you."
mordred,"I feel it, Mother. I will give his blood to the giant."
morgana,You didn't kill him! You didn't kill him!
morgana,"My dear, sweet boy..."
perceval,We'll become good friends.
lancelot,"Where are you going, Lancelot, in your iron tomb? Still trying to save the world?  The best... the bravest... the greatest... fool that ever lived. Now the world rots. Death is king of the earth. And it is you who make it so, Lancelot."
figure,What is the secret of the chalice? Who does it serve?
perceval,"The chalice. The secret was in my grasp. I let it slip, afraid for myself. A question was asked. I didn't understand. I didn't try. I failed..."
kay,Your son Mordred is at the gate.
arthur,At last...
kay,Don't recognize him. You were trapped by Morgana's sorcery.
arthur," ...Mordred is real, alive, my own flesh and blood. I will see him, I must."
mordred,Father...
arthur,"Rise, Mordred."
mordred,"I have come to claim what is mine, Father."
arthur,"I recognize you only as my son, no more."
mordred," And you are the great King? The lords have rebelled. Invaders attack the coasts. Crops don't grow. There is nothing but plague and hunger in the land. Only I am feared. I will be king. You may have lost Excalibur, but I have found my own weapon of power. There."
mordred,The very spear that pierced the side of Christ as he died on the cross.
arthur,Your mother told you that?
arthur,"I cannot offer you the land, only my love..."
mordred,"And I offer only this, Father. To commit with passion and pleasure all the evils that you failed to commit, as man and king."
